domain,score,reason,status,priority,next_action,notes,response_time_ms,final_url,ssl_valid,ssl_days_until_expiry,domain_age_days,server_country,has_live_content,html_title,word_count,scrape_method,credits_used,error
prospect-finder-tool.co,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
discord.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (698),success,High,Manual Review,,665.13,https://discord.com,True,84.0,9313.0,COM,True,Discord - Group Chat That’s All Fun & Games,698,bs4,0,
bestbuydiscount-now.net,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
super-deal-shop.xyz,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
granola.ai,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1861),success,High,Manual Review,,5584.48,https://www.granola.ai/,True,69.0,1778.0,AI,True,Granola ‚Äî The AI Notepad for back-to-back meetings,1861,bs4,0,
crewai.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1107),success,High,Manual Review,,1706.83,https://crewai.com,True,79.0,3208.0,COM,True,The Leading Multi-Agent Platform,1107,bs4,0,
notion.so,0.0,Critical failure: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,True,The AI workspace that works for you. | Notion,135,serper,2,Pass1 Exception: Failed to resolve domain via HTTP/HTTPS
livechat.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (2023),success,High,Manual Review,,2905.86,https://www.livechat.com/,True,74.0,9936.0,COM,True,LiveChat¬Æ - The Best AI Live Chat Software for Business | LiveChat.com,2023,bs4,0,
hugo-static-blog.dev,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
ghost.org,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (920),success,High,Manual Review,,375.4,https://ghost.org,True,79.0,7621.0,ORG,True,Ghost: The best open source blog & newsletter platform,920,bs4,0,
loom.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (828),success,High,Manual Review,,2076.36,https://www.loom.com/,True,234.0,10381.0,COM,True,Free screen recorder for Mac and PC | Loom,828,bs4,0,
cloudflare.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (2870),success,High,Manual Review,,2831.28,https://www.cloudflare.com/,True,34.0,6287.0,COM,True,"Connect, protect, and build everywhere | Cloudflare",2870,bs4,0,
backlinks-cheap-now.site,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
mailchimp.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (2117),success,High,Manual Review,,1383.54,https://mailchimp.com,True,254.0,9077.0,COM,True,Email & SMS Marketing Platform | Mailchimp,2117,bs4,0,
stallout-domain.net,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
domain-for-sale-here.net,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
vercel.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1101),success,High,Manual Review,,2529.16,https://vercel.com,True,44.0,9712.0,COM,True,Vercel: Build and deploy the best web experiences with the AI Cloud,1101,bs4,0,
techcrunch.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1901),success,High,Manual Review,,4042.9,https://techcrunch.com,True,42.0,7635.0,COM,True,TechCrunch | Startup and Technology News,1901,bs4,0,
oldforumarchive.net,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
retool.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (898),success,High,Manual Review,,1016.62,https://retool.com,True,79.0,10431.0,COM,True,"Retool | Build internal software better, with AI.",898,bs4,0,
crisp.chat,80.0,Valid SSL | Unknown age (WHOIS fail) | Live content detected | High word count (977),success,High,Manual Review,,6652.99,https://crisp.chat/en/,True,41.0,,CHAT,True,The AI Customer Support Platform for Every Business - Crisp,977,bs4,0,
intercom.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1391),success,High,Manual Review,,4040.88,https://www.intercom.com/,True,218.0,11832.0,COM,True,Intercom | The only helpdesk designed for the AI Agent era,1391,bs4,0,
hubspot.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (2103),success,High,Manual Review,,2097.27,https://www.hubspot.com/,True,40.0,7759.0,COM,True,HubSpot | Software & Tools for your Business - Homepage,2103,bs4,0,
old-startup-failed.co,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
linktr.ee,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1255),success,High,Manual Review,Fallback to Serper.dev (Pass 1 failed),138.51,https://linktr.ee,True,83.0,3712.0,EE,True,"Link in bio tool: Everything you are, in one simple link | Linktree",1255,serper,2,
get-rich-fast-online.biz,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
seoblog-spammy-content.online,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
perplexity.ai,80.0,Valid SSL | Established domain (>= 2 years) | Live content detected | Low word count (70),success,High,Manual Review,Fallback to Serper.dev (Pass 1 failed),90.46,https://www.perplexity.ai/,True,82.0,1398.0,AI,True,Perplexity,70,serper,10,
stripe.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1911),success,High,Manual Review,,2052.04,https://stripe.com,True,56.0,11195.0,COM,True,Stripe | Financial Infrastructure to Grow Your Revenue,1911,bs4,0,
geocities-archive.org,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
discount-meds-online.net,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
gymnasticsclub-blogspot.com,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
ycombinator.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1604),success,High,Manual Review,,2260.65,https://www.ycombinator.com/,True,246.0,7717.0,COM,True,Y Combinator,1604,bs4,0,
mywebsite-parked.com,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
render.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (689),success,High,Manual Review,,1511.74,https://render.com,True,46.0,10080.0,COM,True,Render | The cloud for builders,689,bs4,0,
docsend.com,40.0,Valid SSL | Established domain (>= 2 years) | No live content | Low word count (0),error,Low,Discard,Fallback to Serper.dev (Pass 1 failed),17.93,https://docsend.com,True,154.0,5041.0,COM,False,,0,serper,0,All scraping methods failed: Pass2 Error: Serper Exception: TimeoutError -
fly.io,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (616),success,High,Manual Review,,2357.59,https://fly.io,True,87.0,7966.0,IO,True,Build fast. Run any code fearlessly. · Fly,616,bs4,0,
webflow.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (4759),success,High,Manual Review,,2530.9,https://webflow.com,True,167.0,8438.0,COM,True,Webflow: The agentic web platform for modern businesses,4759,bs4,0,
make.com,98.0,Valid SSL | Established domain (>= 2 years) | Live content detected | Medium word count (460),success,High,Manual Review,Fallback to Serper.dev (Pass 1 failed),1964.75,https://www.make.com/en,True,77.0,10507.0,COM,True,AI Workflow Automation Software &amp; Tools | Make,460,serper,2,
crm-leads-export.app,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
asana.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1234),success,High,Manual Review,,5102.88,https://asana.com,True,67.0,6315.0,COM,True,"Manage your team‚Äôs work, projects, & tasks online ‚Ä¢ Asana",1234,bs4,0,
project-discontinued.org,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
freshdesk.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (899),success,High,Manual Review,,1591.39,https://www.freshworks.com/freshdesk/,True,91.0,8030.0,COM,True,Freshdesk: AI-powered platform for modern customer service | Freshworks,899,bs4,0,
linkedin.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (740),success,High,Manual Review,,756.87,https://www.linkedin.com/,True,135.0,8587.0,COM,True,LinkedIn: Log In or Sign Up,740,bs4,0,
substack.com,40.0,Valid SSL | Established domain (>= 2 years) | No live content | Low word count (33),success,Low,Discard,Fallback to Serper.dev (Pass 1 failed),410.67,https://substack.com,True,47.0,5854.0,COM,False,Substack - A new economic engine for culture,33,serper,2,
posthog.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (865),success,High,Manual Review,,2907.33,https://posthog.com,True,35.0,2295.0,COM,True,PostHog – We make dev tools for product engineers,865,bs4,0,
crypto-airdrop-2025.click,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
this-domain-does-not-exist-nowhere-12345.com,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
loan-approval-instant.net,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
trello.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1674),success,High,Manual Review,,1970.66,https://trello.com/,True,190.0,7930.0,COM,True,"Capture, organize, and tackle your to-dos from anywhere | Trello",1674,bs4,0,
linode.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1014),success,High,Manual Review,,5704.99,https://www.linode.com/,True,52.0,8502.0,COM,True,The World's Most Distributed Cloud Computing Platform | Akamai,1014,bs4,0,
finance-tracker-app.io,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
miro.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1910),success,High,Manual Review,,10663.96,https://miro.com,True,131.0,11199.0,COM,True,AI Innovation Workspace | Miro,1910,bs4,0,
heroku.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1984),success,High,Manual Review,,11514.54,https://www.heroku.com/,True,88.0,6901.0,COM,True,Heroku: The Cloud Application Platform | Build. Deploy. Scale.,1984,bs4,0,
langchain.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (765),success,High,Manual Review,,1423.42,https://www.langchain.com/,True,85.0,2347.0,COM,True,"LangChain: Observe, Evaluate, and Deploy Reliable AI Agents",765,bs4,0,
digitalocean.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1140),success,High,Manual Review,,861.7,https://www.digitalocean.com/,True,81.0,9521.0,COM,True,AI-Native Cloud | DigitalOcean,1140,bs4,0,
bestquote-insurance.biz,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
example.com,40.0,Valid SSL | Established domain (>= 2 years) | No live content | Low word count (19),success,Low,Discard,Fallback to Serper.dev (Pass 1 failed),90.92,https://example.com,True,55.0,11224.0,COM,False,Example Domain,19,serper,2,
github.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1217),success,High,Manual Review,,1742.8,https://github.com,True,87.0,6785.0,COM,True,GitHub · Change is constant. GitHub keeps you ahead. · GitHub,1217,bs4,0,
openai.com,85.1,Valid SSL | Established domain (>= 2 years) | Live content detected | Medium word count (202),success,High,Manual Review,Fallback to Serper.dev (Pass 1 failed),113.01,https://openai.com,True,44.0,7048.0,COM,True,OpenAI | OpenAI,202,serper,2,
zapier.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (2573),success,High,Manual Review,,2898.58,https://zapier.com,True,294.0,5302.0,COM,True,"Zapier: Automate AI Workflows, Agents, and Apps",2573,bs4,0,
namecheap.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (941),success,High,Manual Review,Fallback to Serper.dev (Pass 1 failed),2879.94,https://www.namecheap.com/,True,247.0,9400.0,COM,True,Buy a domain name - Register cheap domain names from $0.99 - Namecheap,941,serper,2,
clickup.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1219),success,High,Manual Review,,2838.94,https://clickup.com,True,182.0,9072.0,COM,True,"ClickUp™ | Maximize productivity • Software, AI, and humans converge",1219,bs4,0,
hostinger.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (2331),success,High,Manual Review,,7586.61,https://www.hostinger.com/,True,301.0,8566.0,COM,True,Hostinger - Bring Your Idea Online With a Website,2331,bs4,0,
supabase.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (2494),success,High,Manual Review,,5797.6,https://supabase.com,True,31.0,3147.0,COM,True,Supabase | The Postgres Development Platform.,2494,bs4,0,
this-was-a-store.shop,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
bubble.io,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (588),success,High,Manual Review,Fallback to Serper.dev (Pass 1 failed),741.74,https://bubble.io/,True,52.0,6697.0,IO,True,Bubble: Build web &amp; mobile apps with the only no-code AI app builder,588,serper,2,
salesforce.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1307),success,High,Manual Review,,1710.57,https://www.salesforce.com/,True,148.0,10018.0,COM,True,Salesforce: The #1 Agentic AI CRM | Salesforce,1307,bs4,0,
bing.com,40.0,Valid SSL | Established domain (>= 2 years) | No live content | Low word count (5),error,Low,Discard,Fallback to Serper.dev (Pass 1 failed),286.0,https://www.bing.com/?toWww=1&redig=E1923E518DC24AC6A58ACC74D765331C,True,175.0,11056.0,COM,False,Пошук – Microsoft Bing,5,serper,0,Pass2 Error: Serper HTTP Error: 400
nytimes.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1401),success,High,Manual Review,,9239.43,https://www.nytimes.com/,True,129.0,11797.0,COM,True,"The New York Times - Breaking News, US News, World News and Videos",1401,bs4,0,
abandoned-2017-blog.wordpress.com,82.9,Valid SSL | Established domain (>= 2 years) | Live content detected | Medium word count (158),success,High,Manual Review,,228.98,https://wordpress.com/typo/?subdomain=abandoned-2017-blog,True,29.0,9561.0,COM,True,WordPress.com,158,bs4,0,
paymentgateway-test.com,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
cal.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (3226),success,High,Manual Review,,6778.55,https://cal.com,True,70.0,10583.0,COM,True,Cal.com | Scheduling Software for Online Bookings,3226,bs4,0,
twilio.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (3849),success,High,Manual Review,,1883.2,https://www.twilio.com/en-us,True,264.0,6767.0,COM,True,"Conversational AI and APIs for SMS, Email, Voice | Twilio",3849,bs4,0,
typeform.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (622),success,High,Manual Review,,2486.06,https://www.typeform.com/,True,81.0,8722.0,COM,True,Typeform: People-Friendly Forms and Surveys,622,bs4,0,
stately.ai,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (838),success,High,Manual Review,,1507.02,https://stately.ai,True,42.0,2479.0,AI,True,,838,bs4,0,
test-domain-12345.test,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
shopify.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1224),success,High,Manual Review,,4651.3,https://www.shopify.com/,True,66.0,7727.0,COM,True,Shopify: The All-in-One Commerce Platform for Businesses - Shopify,1224,bs4,0,
anthropic.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (625),success,High,Manual Review,,863.62,https://www.anthropic.com/,True,59.0,8983.0,COM,True,Home \ Anthropic,625,bs4,0,
oldnavy-warehouse.com,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
weather-update-zone.com,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
