domain,score,reason,status,priority,next_action,notes,response_time_ms,final_url,ssl_valid,ssl_days_until_expiry,domain_age_days,server_country,has_live_content,html_title,word_count,scrape_method,credits_used,error
linktr.ee,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1255),success,High,Manual Review,Fallback to Serper.dev (Pass 1 failed),131.68,https://linktr.ee,True,83.0,3712.0,EE,True,"Link in bio tool: Everything you are, in one simple link | Linktree",1255.0,serper,2.0,
linode.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1014),success,High,Manual Review,,2467.96,https://www.linode.com/,True,52.0,8503.0,COM,True,The World's Most Distributed Cloud Computing Platform | Akamai,1014.0,bs4,0.0,
livechat.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (2023),success,High,Manual Review,,2790.0,https://www.livechat.com/,True,74.0,9936.0,COM,True,LiveChat¬Æ - The Best AI Live Chat Software for Business | LiveChat.com,2023.0,bs4,0.0,
loom.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (828),success,High,Manual Review,,2087.78,https://www.loom.com/,True,233.0,10381.0,COM,True,Free screen recorder for Mac and PC | Loom,828.0,bs4,0.0,
mailchimp.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (2117),success,High,Manual Review,,3127.84,https://mailchimp.com,True,253.0,9078.0,COM,True,Email & SMS Marketing Platform | Mailchimp,2117.0,bs4,0.0,
miro.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1950),success,High,Manual Review,,12366.39,https://miro.com,True,130.0,11199.0,COM,True,AI Innovation Workspace | Miro,1950.0,bs4,0.0,
n8n.io,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1404),success,High,Manual Review,,4604.54,https://n8n.io,True,89.0,2714.0,IO,True,AI Workflow Automation Platform - n8n,1404.0,bs4,0.0,
namecheap.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (941),success,High,Manual Review,Fallback to Serper.dev (Pass 1 failed),9083.13,https://www.namecheap.com/,True,246.0,9400.0,COM,True,Buy a domain name - Register cheap domain names from $0.99 - Namecheap,941.0,serper,2.0,
posthog.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (865),success,High,Manual Review,,2740.78,https://posthog.com,True,35.0,2296.0,COM,True,PostHog – We make dev tools for product engineers,865.0,bs4,0.0,
render.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (689),success,High,Manual Review,,3786.44,https://render.com,True,46.0,10080.0,COM,True,Render | The cloud for builders,689.0,bs4,0.0,
retool.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (898),success,High,Manual Review,,1080.43,https://retool.com,True,79.0,10431.0,COM,True,"Retool | Build internal software better, with AI.",898.0,bs4,0.0,
salesforce.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1314),success,High,Manual Review,,1722.41,https://www.salesforce.com/,True,147.0,10018.0,COM,True,Salesforce: The #1 Agentic AI CRM | Salesforce,1314.0,bs4,0.0,
shopify.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1224),success,High,Manual Review,,3715.24,https://www.shopify.com/,True,66.0,7727.0,COM,True,Shopify: The All-in-One Commerce Platform for Businesses - Shopify,1224.0,bs4,0.0,
slack.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1876),success,High,Manual Review,,1151.69,https://slack.com,True,56.0,12251.0,COM,True,Slack | AI Work Platform & Productivity Tools,1876.0,bs4,0.0,
stately.ai,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (838),success,High,Manual Review,,1391.92,https://stately.ai,True,42.0,2480.0,AI,True,,838.0,bs4,0.0,
stripe.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1888),success,High,Manual Review,,2093.9,https://stripe.com,True,55.0,11195.0,COM,True,Stripe | Financial Infrastructure to Grow Your Revenue,1888.0,bs4,0.0,
supabase.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (2494),success,High,Manual Review,,5627.31,https://supabase.com,True,31.0,3147.0,COM,True,Supabase | The Postgres Development Platform.,2494.0,bs4,0.0,
techcrunch.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1907),success,High,Manual Review,,1384.46,https://techcrunch.com,True,42.0,7636.0,COM,True,TechCrunch | Startup and Technology News,1907.0,bs4,0.0,
trello.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1674),success,High,Manual Review,,1848.45,https://trello.com,True,189.0,7930.0,COM,True,"Capture, organize, and tackle your to-dos from anywhere | Trello",1674.0,bs4,0.0,
twilio.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (3849),success,High,Manual Review,,1851.21,https://www.twilio.com/en-us,True,263.0,6768.0,COM,True,"Conversational AI and APIs for SMS, Email, Voice | Twilio",3849.0,bs4,0.0,
typeform.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (622),success,High,Manual Review,,1183.74,https://www.typeform.com/,True,80.0,8722.0,COM,True,Typeform: People-Friendly Forms and Surveys,622.0,bs4,0.0,
vercel.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1101),success,High,Manual Review,,2698.51,https://vercel.com,True,44.0,9712.0,COM,True,Vercel: Build and deploy the best web experiences with the AI Cloud,1101.0,bs4,0.0,
webflow.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (4759),success,High,Manual Review,,5891.1,https://webflow.com,True,166.0,8438.0,COM,True,Webflow: The agentic web platform for modern businesses,4759.0,bs4,0.0,
ycombinator.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1604),success,High,Manual Review,,2903.74,https://www.ycombinator.com/,True,245.0,7718.0,COM,True,Y Combinator,1604.0,bs4,0.0,
zapier.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (2573),success,High,Manual Review,,3015.84,https://zapier.com,True,293.0,5303.0,COM,True,"Zapier: Automate AI Workflows, Agents, and Apps",2573.0,bs4,0.0,
make.com,98.0,Valid SSL | Established domain (>= 2 years) | Live content detected | Medium word count (460),success,High,Manual Review,Fallback to Serper.dev (Pass 1 failed),79.94,https://www.make.com/en,True,77.0,10507.0,COM,True,AI Workflow Automation Software &amp; Tools | Make,460.0,serper,2.0,
clearbit.com,90.65,Valid SSL | Established domain (>= 2 years) | Live content detected | Medium word count (313),success,High,Manual Review,,2460.21,https://clearbit.com,True,253.0,8343.0,COM,True,Clearbit has joined HubSpot,313.0,bs4,0.0,
openai.com,85.1,Valid SSL | Established domain (>= 2 years) | Live content detected | Medium word count (202),success,High,Manual Review,Fallback to Serper.dev (Pass 1 failed),109.08,https://openai.com,True,44.0,7048.0,COM,True,OpenAI | OpenAI,202.0,serper,2.0,
abandoned-2017-blog.wordpress.com,82.9,Valid SSL | Established domain (>= 2 years) | Live content detected | Medium word count (158),success,High,Manual Review,,221.88,https://wordpress.com/typo/?subdomain=abandoned-2017-blog,True,89.0,9561.0,COM,True,WordPress.com,158.0,bs4,0.0,
crisp.chat,80.0,Valid SSL | Unknown age (WHOIS fail) | Live content detected | High word count (977),success,High,Manual Review,,5704.94,https://crisp.chat/en/,True,41.0,,CHAT,True,The AI Customer Support Platform for Every Business - Crisp,977.0,bs4,0.0,
fathom.video,80.0,Valid SSL | Unknown age (WHOIS fail) | Live content detected | High word count (1049),success,High,Manual Review,,612.85,https://www.fathom.ai/,True,49.0,,AI,True,Fathom AI Notetaker - Never Take Notes Again,1049.0,bs4,0.0,
heroku.com,80.0,Valid SSL | Unknown age (WHOIS fail) | Live content detected | High word count (1984),success,High,Manual Review,,1516.27,https://www.heroku.com/,True,88.0,,COM,True,Heroku: The Cloud Application Platform | Build. Deploy. Scale.,1984.0,bs4,0.0,
perplexity.ai,80.0,Valid SSL | Established domain (>= 2 years) | Live content detected | Low word count (70),success,High,Manual Review,Fallback to Serper.dev (Pass 1 failed),139.37,https://www.perplexity.ai/,True,82.0,1399.0,AI,True,Perplexity,70.0,serper,10.0,
docusend.io,74.46000000000001,Valid SSL | Domain age: 41 days (linear score) | Live content detected | Medium word count (383),success,Medium,Monitor,,677.51,https://www.docusend.io/,True,65.0,41.0,IO,True,DocuSend | Document Campaign Automation,383.0,bs4,0.0,
bing.com,40.0,Valid SSL | Established domain (>= 2 years) | No live content | Low word count (5),error,Low,Discard,Fallback to Serper.dev (Pass 1 failed),743.07,https://www.bing.com/?toWww=1&redig=6F008AAB7F664D1497812FCBAAEA7383,True,175.0,11056.0,COM,False,Пошук – Microsoft Bing,5.0,serper,0.0,Pass2 Error: Serper HTTP Error: 400
bubble.io,40.0,Valid SSL | Established domain (>= 2 years) | No live content | Low word count (16),success,Low,Discard,Fallback to Serper.dev (Pass 1 failed),1215.02,https://bubble.io,True,52.0,6697.0,IO,False,Bubble: Build web &amp; mobile apps with the only no-code AI app builder,16.0,serper,2.0,
docsend.com,40.0,Valid SSL | Established domain (>= 2 years) | No live content | Low word count (0),error,Low,Discard,Fallback to Serper.dev (Pass 1 failed),17.77,https://docsend.com,True,153.0,5041.0,COM,False,,0.0,serper,0.0,All scraping methods failed: Pass2 Error: Serper Exception: TimeoutError -
example.com,40.0,Valid SSL | Established domain (>= 2 years) | No live content | Low word count (19),success,Low,Discard,Fallback to Serper.dev (Pass 1 failed),79.11,https://example.com,True,54.0,11224.0,COM,False,Example Domain,19.0,serper,2.0,
medium.com,40.0,Valid SSL | Established domain (>= 2 years) | No live content | Low word count (18),success,Low,Discard,Fallback to Serper.dev (Pass 1 failed),81.97,https://medium.com,True,33.0,10207.0,COM,False,Medium: Read and write stories.,18.0,serper,6.0,
producthunt.com,40.0,Valid SSL | Established domain (>= 2 years) | No live content | Low word count (0),error,Low,Discard,Fallback to Serper.dev (Pass 1 failed),719.95,https://producthunt.com,True,70.0,8465.0,COM,False,,0.0,serper,0.0,"All scraping methods failed: Pass2 Error: Serper Exception: ClientResponseError - 500, message='Internal Server Error', url='https://scrape.serper.dev'"
substack.com,40.0,Valid SSL | Established domain (>= 2 years) | No live content | Low word count (33),success,Low,Discard,Fallback to Serper.dev (Pass 1 failed),375.79,https://substack.com,True,47.0,5854.0,COM,False,Substack - A new economic engine for culture,33.0,serper,2.0,
airtable.com,0.0,Critical failure: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,True,"Airtable: Build Enterprise-ready AI Workflows, Apps & Agents - Airtable",266.0,serper,2.0,Pass1 Exception: Failed to resolve domain via HTTP/HTTPS
backlinks-cheap-now.site,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0.0,serper,0.0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
bestbuydiscount-now.net,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0.0,serper,0.0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
bestquote-insurance.biz,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0.0,serper,0.0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
buy-followers-fast.life,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0.0,serper,0.0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
bygonecompany2018.com,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0.0,serper,0.0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
crm-leads-export.app,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0.0,serper,0.0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
crypto-airdrop-2025.click,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0.0,serper,0.0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
discount-meds-online.net,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0.0,serper,0.0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
domain-for-sale-here.net,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0.0,serper,0.0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
figma.com,0.0,Critical failure: Per-domain processing timeout (30s),error,Low,Retry,,,,,,,UNKNOWN,,,,bs4,,
finance-tracker-app.io,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0.0,serper,0.0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
framer.com,0.0,Critical failure: Per-domain processing timeout (30s),error,Low,Retry,,,,,,,UNKNOWN,,,,bs4,,
geocities-archive.org,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0.0,serper,0.0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
get-rich-fast-online.biz,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0.0,serper,0.0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
gymnasticsclub-blogspot.com,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0.0,serper,0.0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
healthcheck-online.org,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0.0,serper,0.0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
hugo-static-blog.dev,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0.0,serper,0.0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
indiehackers.com,0.0,Critical failure: Network timeout or connection refused,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,https://www.indiehackers.com/,False,,,COM,True,Indie Hackers: Work Together to Build Profitable Online Businesses,1853.0,serper,2.0,Network timeout or connection refused
instant-cash-2024.info,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0.0,serper,0.0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
loan-approval-instant.net,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0.0,serper,0.0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
mywebsite-parked.com,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0.0,serper,0.0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
nft-mint-now-free.io,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0.0,serper,0.0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
notion.so,0.0,Critical failure: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,True,The AI workspace that works for you. | Notion,135.0,serper,2.0,Pass1 Exception: Failed to resolve domain via HTTP/HTTPS
nytimes.com,0.0,Critical failure: Per-domain processing timeout (30s),error,Low,Retry,,,,,,,UNKNOWN,,,,bs4,,
old-startup-failed.co,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0.0,serper,0.0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
oldforumarchive.net,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0.0,serper,0.0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
oldnavy-warehouse.com,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0.0,serper,0.0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
paymentgateway-test.com,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0.0,serper,0.0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
project-discontinued.org,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0.0,serper,0.0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
prospect-finder-tool.co,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0.0,serper,0.0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
seoblog-spammy-content.online,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0.0,serper,0.0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
stallout-domain.net,0.0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0.0,serper,0.0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
